Transaction_ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,2023-11-24,CUST001,Male,34.0,Beauty,3.0,50.0,150.0
2,2023-02-27,CUST002,Female,26.0,Clothing,2.0,500.0,1000.0
3,2023-01-13,CUST003,Male,50.0,Electronics,1.0,30.0,30.0
5,2023-05-21,CUST005,Male,37.0,Clothing,1.0,500.0,500.0
6,2023-05-06,CUST006,Male,30.0,Beauty,2.0,50.0,100.0
7,2023-04-25,CUST007,Female,45.0,Beauty,1.0,30.0,30.0
8,2023-03-13,CUST008,Male,46.0,Clothing,2.0,25.0,50.0
9,2023-02-22,CUST009,Male,30.0,Electronics,4.0,25.0,100.0
10,2023-12-13,CUST010,Male,63.0,Electronics,2.0,300.0,600.0
11,2023-10-07,CUST011,Female,52.0,Clothing,4.0,50.0,200.0
12,2023-02-14,CUST012,Male,23.0,Clothing,2.0,50.0,100.0
13,2023-10-30,CUST013,Male,35.0,Beauty,3.0,25.0,75.0
14,2023-08-05,CUST014,Male,22.0,Electronics,3.0,500.0,1500.0
15,2023-01-17,CUST015,Male,64.0,Clothing,4.0,30.0,120.0
17,2023-01-16,CUST017,Female,42.0,Electronics,4.0,500.0,2000.0
18,2023-02-17,CUST018,Male,19.0,Clothing,3.0,500.0,1500.0
19,2023-04-22,CUST019,Female,27.0,Clothing,4.0,25.0,100.0
20,2023-04-30,CUST020,Female,47.0,Electronics,2.0,25.0,50.0
21,2023-09-16,CUST021,Female,62.0,Clothing,2.0,25.0,50.0
22,2023-11-05,CUST022,Male,22.0,Clothing,3.0,300.0,900.0
23,2023-01-14,CUST023,Female,50.0,Beauty,1.0,500.0,500.0
24,2023-10-15,CUST024,Male,18.0,Clothing,2.0,50.0,100.0
25,2023-04-12,CUST025,Female,35.0,Clothing,4.0,30.0,120.0
26,2023-11-29,CUST026,Female,49.0,Clothing,1.0,300.0,300.0
27,2023-12-26,CUST027,Female,64.0,Beauty,1.0,50.0,50.0
28,2023-10-07,CUST028,Female,28.0,Electronics,2.0,500.0,1000.0
31,2023-08-03,CUST031,Female,38.0,Beauty,2.0,25.0,50.0
32,2023-04-23,CUST032,Female,43.0,Beauty,1.0,500.0,500.0
33,2023-08-18,CUST033,Female,42.0,Electronics,1.0,30.0,30.0
34,2023-10-29,CUST034,Female,39.0,Beauty,3.0,300.0,900.0
35,2023-05-23,CUST035,Male,44.0,Electronics,4.0,300.0,1200.0
36,2023-01-04,CUST036,Male,30.0,Beauty,3.0,30.0,90.0
37,2023-03-23,CUST037,Female,50.0,Electronics,2.0,50.0,100.0
38,2023-12-24,CUST038,Female,51.0,Clothing,3.0,50.0,150.0
40,2023-08-05,CUST040,Female,58.0,Beauty,3.0,300.0,900.0
41,2023-06-24,CUST041,Male,52.0,Beauty,3.0,300.0,900.0
42,2023-05-23,CUST042,Female,18.0,Beauty,3.0,25.0,75.0
43,2023-03-21,CUST043,Male,38.0,Beauty,4.0,50.0,200.0
45,2023-04-21,CUST045,Male,23.0,Clothing,4.0,30.0,120.0
46,2023-06-22,CUST046,Male,45.0,Beauty,1.0,50.0,50.0
47,2023-02-22,CUST047,Male,34.0,Clothing,2.0,25.0,50.0
48,2023-02-17,CUST048,Male,22.0,Clothing,3.0,300.0,900.0
49,2023-07-14,CUST049,Female,48.0,Clothing,1.0,300.0,300.0
50,2023-02-19,CUST050,Female,22.0,Clothing,1.0,25.0,25.0
51,2023-07-03,CUST051,Female,55.0,Electronics,1.0,30.0,30.0
52,2023-06-26,CUST052,Female,20.0,Electronics,4.0,300.0,1200.0
53,2023-11-06,CUST053,Female,40.0,Beauty,3.0,500.0,1500.0
54,2023-05-16,CUST054,Male,54.0,Electronics,3.0,300.0,900.0
55,2023-01-23,CUST055,Female,54.0,Electronics,2.0,500.0,1000.0
57,2023-08-24,CUST057,Female,27.0,Beauty,3.0,25.0,75.0
58,2023-10-02,CUST058,Male,27.0,Beauty,3.0,25.0,75.0
59,2023-03-05,CUST059,Female,36.0,Beauty,1.0,300.0,300.0
60,2023-07-13,CUST060,Male,34.0,Electronics,2.0,50.0,100.0
62,2023-02-10,CUST062,Female,38.0,Electronics,3.0,500.0,1500.0
63,2023-10-10,CUST063,Male,31.0,Beauty,4.0,30.0,120.0
64,2023-05-31,CUST064,Female,26.0,Clothing,3.0,300.0,900.0
65,2023-11-18,CUST065,Female,63.0,Beauty,1.0,30.0,30.0
66,2023-11-13,CUST066,Male,18.0,Clothing,4.0,300.0,1200.0
67,2023-07-05,CUST067,Male,62.0,Clothing,1.0,50.0,50.0
68,2023-10-23,CUST068,Male,30.0,Beauty,3.0,50.0,150.0
69,2023-04-09,CUST069,Male,21.0,Beauty,4.0,50.0,200.0
70,2023-12-27,CUST070,Male,18.0,Beauty,2.0,50.0,100.0
72,2023-02-05,CUST072,Male,57.0,Electronics,2.0,25.0,50.0
73,2023-01-24,CUST073,Male,49.0,Clothing,4.0,25.0,100.0
74,2023-12-05,CUST074,Male,51.0,Electronics,4.0,500.0,2000.0
75,2023-04-27,CUST075,Female,45.0,Electronics,1.0,30.0,30.0
76,2023-05-29,CUST076,Female,48.0,Beauty,4.0,300.0,1200.0
77,2023-02-10,CUST077,Male,25.0,Electronics,1.0,300.0,300.0
78,2023-04-30,CUST078,Female,56.0,Beauty,3.0,25.0,75.0
82,2023-02-21,CUST082,Female,43.0,Clothing,1.0,300.0,300.0
83,2023-07-14,CUST083,Female,51.0,Beauty,4.0,25.0,100.0
85,2023-05-23,CUST085,Female,20.0,Electronics,4.0,500.0,2000.0
86,2023-08-21,CUST086,Male,29.0,Electronics,3.0,30.0,90.0
87,2023-11-22,CUST087,Female,18.0,Beauty,4.0,500.0,2000.0
88,2023-07-06,CUST088,Male,61.0,Beauty,4.0,50.0,200.0
89,2023-03-25,CUST089,Female,22.0,Electronics,2.0,50.0,100.0
90,2023-07-09,CUST090,Female,47.0,Clothing,2.0,50.0,100.0
91,2023-07-01,CUST091,Female,47.0,Clothing,3.0,500.0,1500.0
92,2023-04-18,CUST092,Male,34.0,Beauty,1.0,300.0,300.0
