,Transaction_ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
0,1,24/11/23,CUST001,Male,34.0,Beauty,3.0,50.0,150.0
1,2,27/2/23,CUST002,Female,26.0,Clothing,2.0,500.0,1000.0
2,3,13/1/23,CUST003,Male,50.0,Electronics,1.0,30.0,30.0
3,4,20/4/23,CUST004,Female,5.0,,1.0,20.0,20.0
4,5,21/5/23,CUST005,Male,37.0,Clothing,1.0,500.0,500.0
5,6,6/5/23,CUST006,Male,30.0,Beauty,2.0,50.0,100.0
6,7,25/4/23,CUST007,Female,45.0,Beauty,1.0,30.0,30.0
7,8,13/3/23,CUST008,Male,46.0,Clothing,2.0,25.0,50.0
8,9,22/2/23,CUST009,Male,30.0,Electronics,4.0,25.0,100.0
9,10,13/12/23,CUST010,Male,63.0,Electronics,2.0,300.0,600.0
10,11,7/10/23,CUST011,Female,52.0,Clothing,4.0,50.0,200.0
11,12,14/2/23,CUST012,Male,23.0,Clothing,2.0,50.0,100.0
12,13,30/10/23,CUST013,Male,35.0,Beauty,3.0,25.0,75.0
13,14,5/8/23,CUST014,Male,22.0,Electronics,3.0,500.0,1500.0
14,15,17/1/23,CUST015,Male,64.0,Clothing,4.0,30.0,120.0
15,16,25/4/23,CUST016,Male,2.0,,1.0,40.0,40.0
16,17,16/1/23,CUST017,Female,42.0,Electronics,4.0,500.0,2000.0
17,18,17/2/23,CUST018,Male,19.0,Clothing,3.0,500.0,1500.0
18,19,22/4/23,CUST019,Female,27.0,Clothing,4.0,25.0,100.0
19,20,30/4/23,CUST020,Female,47.0,Electronics,2.0,25.0,50.0
20,21,16/9/23,CUST021,Female,62.0,Clothing,2.0,25.0,50.0
21,22,5/11/23,CUST022,Male,22.0,Clothing,3.0,300.0,900.0
22,23,14/1/23,CUST023,Female,50.0,Beauty,1.0,500.0,500.0
23,24,15/10/23,CUST024,Male,18.0,Clothing,2.0,50.0,100.0
24,25,12/4/23,CUST025,Female,35.0,Clothing,4.0,30.0,120.0
25,26,29/11/23,CUST026,Female,49.0,Clothing,1.0,300.0,300.0
26,27,26/12/23,CUST027,Female,64.0,Beauty,1.0,50.0,50.0
27,28,7/10/23,CUST028,Female,28.0,Electronics,2.0,500.0,1000.0
28,29,29/10/23,CUST029,Female,18.0,Electronics,-2.0,-20.0,-40.0
29,30,23/5/23,CUST030,Female,25.0,Electronics,0.0,0.0,0.0
30,31,3/8/23,CUST031,Female,38.0,Beauty,2.0,25.0,50.0
31,32,23/4/23,CUST032,Female,43.0,Beauty,1.0,500.0,500.0
32,33,18/8/23,CUST033,Female,42.0,Electronics,1.0,30.0,30.0
33,34,29/10/23,CUST034,Female,39.0,Beauty,3.0,300.0,900.0
34,35,23/5/23,CUST035,Male,44.0,Electronics,4.0,300.0,1200.0
35,36,4/1/23,CUST036,Male,30.0,Beauty,3.0,30.0,90.0
36,37,23/3/23,CUST037,Female,50.0,Electronics,2.0,50.0,100.0
37,38,24/12/23,CUST038,Female,51.0,Clothing,3.0,50.0,150.0
38,39,21/3/23,CUST039,Female,,Electronics,,,
39,40,5/8/23,CUST040,Female,58.0,Beauty,3.0,300.0,900.0
40,41,24/6/23,CUST041,Male,52.0,Beauty,3.0,300.0,900.0
41,42,23/5/23,CUST042,Female,18.0,Beauty,3.0,25.0,75.0
42,43,21/3/23,CUST043,Male,38.0,Beauty,4.0,50.0,200.0
43,44,21/4/23,CUST044,Male,,Electronics,,,
44,45,21/4/23,CUST045,Male,23.0,Clothing,4.0,30.0,120.0
45,46,22/6/23,CUST046,Male,45.0,Beauty,1.0,50.0,50.0
46,47,22/2/23,CUST047,Male,34.0,Clothing,2.0,25.0,50.0
47,48,17/2/23,CUST048,Male,22.0,Clothing,3.0,300.0,900.0
48,49,14/7/23,CUST049,Female,48.0,Clothing,1.0,300.0,300.0
49,50,19/2/23,CUST050,Female,22.0,Clothing,1.0,25.0,25.0
50,51,3/7/23,CUST051,Female,55.0,Electronics,1.0,30.0,30.0
51,52,26/6/23,CUST052,Female,20.0,Electronics,4.0,300.0,1200.0
52,53,6/11/23,CUST053,Female,40.0,Beauty,3.0,500.0,1500.0
53,54,16/5/23,CUST054,Male,54.0,Electronics,3.0,300.0,900.0
54,55,23/1/23,CUST055,Female,54.0,Electronics,2.0,500.0,1000.0
55,56,10/2/23,CUST056,,,Beauty,,,
56,57,24/8/23,CUST057,Female,27.0,Beauty,3.0,25.0,75.0
57,58,2/10/23,CUST058,Male,27.0,Beauty,3.0,25.0,75.0
58,59,5/3/23,CUST059,Female,36.0,Beauty,1.0,300.0,300.0
59,60,13/7/23,CUST060,Male,34.0,Electronics,2.0,50.0,100.0
60,61,23/1/23,CUST061,,,Beauty,,,
61,62,10/2/23,CUST062,Female,38.0,Electronics,3.0,500.0,1500.0
62,63,10/10/23,CUST063,Male,31.0,Beauty,4.0,30.0,120.0
